ip,request_count,error_rate,avg_bytes,unique_paths,anomaly_score,is_anomaly,ml_anomaly
1.187.219.6,331,0.0,13036.2749244713,151,-1,True,True
1.22.40.198,228,0.0,5526.605263157895,74,1,False,True
103.106.29.70,504,0.0,6490.3432539682535,93,-1,True,True
103.154.59.44,349,0.0,7057.664756446991,72,-1,True,True
103.155.3.139,1302,0.0,12286.84639016897,260,-1,True,True
103.158.120.16,169,0.0,5934.147928994083,124,-1,True,True
103.168.223.4,1428,0.0,7296.203781512605,235,-1,True,True
103.171.117.194,161,0.0,7825.60248447205,85,1,False,True
103.172.72.238,598,0.0,8368.239130434782,124,-1,True,True
103.173.206.127,142,0.007042253521126761,14148.598591549297,94,-1,True,True
103.178.253.101,231,0.0,10190.952380952382,141,-1,True,True
103.185.104.96,271,0.0,5628.7859778597785,66,1,False,True
103.189.90.196,604,0.0,8279.622516556292,209,-1,True,True
103.199.180.158,651,0.0030721966205837174,5374.159754224271,92,-1,True,True
103.199.180.234,401,0.0,11657.795511221944,161,-1,True,True
103.203.73.228,292,0.0,10804.184931506848,137,-1,True,True
103.216.212.115,137,0.0,14322.058394160584,86,-1,True,True
103.240.205.125,199,0.0,13501.361809045226,80,-1,True,True
103.42.89.9,44,0.06818181818181818,20807.477272727272,12,-1,True,True
103.75.160.73,260,0.0,6642.657692307693,62,1,False,True
103.77.136.177,202,0.0,10370.10396039604,126,-1,True,True
103.83.148.108,306,0.0,14957.035947712418,97,-1,True,True
106.193.59.212,285,0.0,6335.964912280701,62,1,False,True
106.195.81.163,199,0.0,4800.452261306533,82,1,False,True
106.195.95.229,1236,0.0,6971.855177993528,149,-1,True,True
106.198.114.98,165,0.0,13649.442424242425,93,-1,True,True
106.205.160.217,190,0.0,13098.763157894737,121,-1,True,True
106.205.185.68,338,0.0,6846.37573964497,72,-1,True,True
106.205.187.166,129,0.015503875968992248,17345.976744186046,82,-1,True,True
106.205.189.165,9,0.1111111111111111,3718.3333333333335,8,1,False,True
106.206.200.244,761,0.0,7351.935611038108,100,-1,True,True
106.207.50.142,253,0.003952569169960474,7383.067193675889,61,1,False,True
106.208.151.17,265,0.0,8759.041509433962,51,1,False,True
106.215.102.245,322,0.0,7981.583850931677,78,-1,True,True
106.216.114.81,283,0.0,6939.424028268551,58,1,False,True
106.216.118.163,239,0.0,10627.117154811716,94,-1,True,True
106.219.154.39,387,0.0,8631.025839793281,91,-1,True,True
106.219.169.85,306,0.0,6807.859477124183,74,-1,True,True
106.219.173.241,414,0.0,7749.495169082125,85,-1,True,True
106.219.174.37,1236,0.0,8151.389158576052,230,-1,True,True
106.219.175.64,318,0.0,7767.647798742139,78,-1,True,True
106.219.212.220,448,0.0,8956.419642857143,153,-1,True,True
106.219.219.141,18,0.05555555555555555,2636.1111111111113,10,1,False,True
106.219.240.68,233,0.0,6571.557939914163,43,1,False,True
106.219.241.247,276,0.0,9662.608695652174,110,-1,True,True
106.219.244.56,271,0.0,7727.730627306273,59,1,False,True
106.219.245.155,482,0.0,10660.21161825726,100,-1,True,True
106.219.246.228,236,0.0,6277.627118644068,44,1,False,True
106.219.64.203,434,0.0,4502.672811059908,142,-1,True,True
106.219.90.156,267,0.0,4548.505617977528,101,-1,True,True
106.220.61.104,194,0.0,12699.907216494845,105,-1,True,True
106.221.105.253,17,0.058823529411764705,2171.0,11,1,False,True
106.221.41.32,1394,0.0,7300.85294117647,236,-1,True,True
106.223.181.79,53,0.018867924528301886,3319.6415094339623,47,1,False,True
106.51.216.211,264,0.0,5871.507575757576,57,1,False,True
110.225.178.58,437,0.0,5732.327231121281,84,-1,True,True
110.225.54.136,263,0.0,7850.733840304182,59,1,False,True
110.226.202.41,10,0.1,3680.5,6,1,False,True
110.226.224.167,119,0.025210084033613446,14174.672268907563,66,-1,True,True
110.226.224.208,12,0.16666666666666666,2630.1666666666665,9,-1,True,True
114.119.141.53,1,1.0,341.0,1,-1,True,True
114.31.134.160,244,0.0,6858.303278688524,59,1,False,True
117.193.13.5,197,0.0,12317.873096446701,126,-1,True,True
117.194.15.46,290,0.0,8313.575862068965,71,1,False,True
117.195.142.231,301,0.0,8014.777408637874,131,-1,True,True
117.195.228.202,230,0.0,6061.308695652174,101,-1,True,True
117.201.198.175,13,0.07692307692307693,3766.3076923076924,8,1,False,True
117.223.255.75,161,0.0,5315.608695652174,87,1,False,True
117.233.210.143,1724,0.0,5374.622389791183,275,-1,True,True
117.238.112.121,415,0.0,5385.450602409638,102,-1,True,True
