ip,timestamp,method,url,protocol,status,bytes,referer,user_agent,hour,day_of_week,date,path
106.219.90.156,2025-02-28 10:18:00+05:30,GET,/website/report/view_foc.php?trxno=DI040-MF24000339&refpage=../product_ordering/foc.php,HTTP/1.1,200,2873,https://www.abc.com/website/product_ordering/foc_lst.php,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36",10,4,2025-02-28,/website/report/view_foc.php?trxno=DI040-MF24000339&refpage=../product_ordering/foc.php
106.219.90.156,2025-02-28 10:18:53+05:30,GET,/website/report/view_foc.php?trxno=DI040-MF24000288&refpage=../product_ordering/foc.php,HTTP/1.1,200,2854,https://www.abc.com/website/product_ordering/foc_lst.php,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36",10,4,2025-02-28,/website/report/view_foc.php?trxno=DI040-MF24000288&refpage=../product_ordering/foc.php
106.219.90.156,2025-02-28 10:19:29+05:30,GET,/website/report/view_foc.php?trxno=DI040-MF24000276&refpage=../product_ordering/foc.php,HTTP/1.1,200,3116,https://www.abc.com/website/product_ordering/foc_lst.php,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36",10,4,2025-02-28,/website/report/view_foc.php?trxno=DI040-MF24000276&refpage=../product_ordering/foc.php
106.219.90.156,2025-02-28 10:27:00+05:30,GET,/website/report/view_foc.php?trxno=DI011-MF24000292&refpage=../product_ordering/foc.php,HTTP/1.1,200,2592,https://www.abc.com/website/product_ordering/foc_lst.php,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36",10,4,2025-02-28,/website/report/view_foc.php?trxno=DI011-MF24000292&refpage=../product_ordering/foc.php
183.82.33.14,2025-02-28 11:03:43+05:30,GET,/website/report/view_foc.php?trxno=DI001-MF24000458&refpage=../product_ordering/foc.php,HTTP/1.1,200,2432,https://www.abc.com/website/product_ordering/foc_lst.php,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36",11,4,2025-02-28,/website/report/view_foc.php?trxno=DI001-MF24000458&refpage=../product_ordering/foc.php
157.42.18.106,2025-02-28 11:16:32+05:30,GET,/website/module/get_filedataew.php?xdatadir=.././reports_ew/data_statement_pool/&file_name=e32656b5e70a813edf614809caeb1298.pdf&type=pdf&disp=inline,HTTP/1.1,200,13959,https://www.abc.com/website/reports_ew/rpt_estatement_sc.php,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36",11,4,2025-02-28,/website/module/get_filedataew.php?xdatadir=.././reports_ew/data_statement_pool/&file_name=e32656b5e70a813edf614809caeb1298.pdf&type=pdf&disp=inline
157.42.18.106,2025-02-28 11:16:41+05:30,GET,/website/module/get_filedataew.php?xdatadir=.././reports_ew/data_statement_pool/&file_name=9fb76872e40decd6f612fcb333bbc6fa.pdf&type=pdf&disp=inline,HTTP/1.1,200,14097,https://www.abc.com/website/reports_ew/rpt_estatement_sc.php,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36",11,4,2025-02-28,/website/module/get_filedataew.php?xdatadir=.././reports_ew/data_statement_pool/&file_name=9fb76872e40decd6f612fcb333bbc6fa.pdf&type=pdf&disp=inline
152.59.170.184,2025-02-28 11:38:10+05:30,GET,/website/module/get_filedataew.php?xdatadir=.././reports_ew/data_statement_pool/&file_name=910a9f6f5aa49ad72c42f5242f6f6847.pdf&type=pdf&disp=inline,HTTP/1.1,200,3620,https://www.abc.com/website/reports_ew/rpt_estatement_sc.php,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36",11,4,2025-02-28,/website/module/get_filedataew.php?xdatadir=.././reports_ew/data_statement_pool/&file_name=910a9f6f5aa49ad72c42f5242f6f6847.pdf&type=pdf&disp=inline
49.207.223.122,2025-02-28 11:42:28+05:30,GET,/website/report/view_foc.php?trxno=DI049-MF24000657&refpage=../product_ordering/promo_red.php,HTTP/1.1,200,2581,https://www.abc.com/website/product_ordering/promo_red.php,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 Edg/133.0.0.0",11,4,2025-02-28,/website/report/view_foc.php?trxno=DI049-MF24000657&refpage=../product_ordering/promo_red.php
117.244.220.153,2025-02-28 11:51:09+05:30,GET,/website/module/get_filedataew.php?xdatadir=.././reports_ew/data_statement_pool/&file_name=ee15f255669fa94e2cbd547011b6d89f.pdf&type=pdf&disp=inline,HTTP/1.1,200,12083,https://www.abc.com/website/reports_ew/rpt_estatement_sc.php,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36",11,4,2025-02-28,/website/module/get_filedataew.php?xdatadir=.././reports_ew/data_statement_pool/&file_name=ee15f255669fa94e2cbd547011b6d89f.pdf&type=pdf&disp=inline
